Course	Code	CRN	Type	Dates	Days	Start	Finish	Room
MGMT	319	9541	L1	Trimester 2	W	11:30	13:20	RHLT3
MGMT	319	9541	L1	Trimester 2	M	12:40	13:30	RHLT3
MGMT	319	9541	L1-Tut	Trimester 2	M	11:30	12:20	GB117
MGMT	319	9541	L1-Tut	Trimester 2	M	10:30	11:20	GB117
MGMT	319	9541	L1-Tut	Trimester 2	M	9:30	10:20	RHG03
MGMT	319	9541	L1-Tut	Trimester 2	M	12:40	13:30	RHG01
MGMT	405	8064	L1	Trimester 2	T	9:30	12:20	RWW129
MGMT	413	9549	L1	Trimester 2	R	9:30	12:20	RWW312
MGMT	418	9551	L1	Trimester 2	F	9:30	12:20	RWW128
MGMT	430	9552	L1	Trimester 2	M	9:30	12:20	RWW315
 	 	 	 	 	 	 	 	 
MHST	511	13706	L1	Trimester 1 + Trimester 2	T	13:10	15:00	OK301
MHST	512	13707	L1	Trimester 1 + Trimester 2	M	9:00	12:50	OK301
MHST	513	13708	L1	Trimester 1 + Trimester 2	W	13:10	15:00	OK301
MHST	515	13710	L1	Trimester 1 + Trimester 2	M	14:10	16:00	OK301
 	 	 	 	 	 	 	 	 
MIDW	512	8694	L2	Week of 13 September	MT	9:00	17:00	CS802
MIDW	512	8694	L2	Week of 19 April	MT	9:00	17:00	CS802
MIDW	514	15355	L1	Week of 29 March	WR	9:00	17:00	CS802
MIDW	514	15355	L1	Week of 30 August	MT	9:00	17:00	CS802
MIDW	515	8695	L1	Wks of 22Mar, 19Jul	WRF	9:00	17:00	CS801
MIDW	518	8698	L1	Wks of 22Mar, 24May, 6Sep	MT	9:00	17:00	CS801
MIDW	518	15440	L2	Week of 29 March	MT	9:00	17:00	CS801
MIDW	518	15440	L2	Wks of 24May, 6Sep	RF	9:00	17:00	CS801
MIDW	519	8708	L1	Week of 26 July	MTW	9:00	17:00	CS802
MIDW	523	15197	L1	Wks of 22 Mar, 6 Sep	MT	9:00	17:00	CS803
MIDW	532	17135	L1	Summer 2010/11 Wks of 15 Nov	MT	9:00	17:00	CS801
MIDW	533	17132	L1	Week of 12 July	MTWR	9:00	17:00	CS801
MIDW	592	13702	L1	Week of 1 March	MTW	9:00	17:00	CS802
MIDW	592	13702	L1	Week of 16 August	WRF	9:00	17:00	CS802
MIDW	594	11370	L1	Week of 1 March	MTW	9:00	17:00	CS802
MIDW	594	11370	L1	Week of 16 August	WRF	9:00	17:00	CS802
MIDW	595	17136	L1	Wks of 8Mar, 23Aug	WR	9:00	17:00	CS801
MIDW	690	8812	L1	Wks of 12Apr, 20Sep	MTWR	9:00	17:00	CS801
 	 	 	 	 	 	 	 	 
MMAF	531	11693	L1	Trimester 2	F	9:30	11:20	RWW312
MMAF	532	11697	L2	Trimester 2	T	14:40	16:30	RWW129
MMAF	532	11697	L2	Trimester 2	T	14:40	16:30	RWW202
 	 	 	 	 	 	 	 	 
MMBA	503	10684	L1	Wks of 15Nov-13Dec	R	17:40	19:30	GBLT3
MMBA	503	17476	L3-Tut	Week of 18 January	R	12:40	13:30	RHLT2
MMBA	507	7729	L1	Week of 22-29 March	W	19:40	21:30	RHLT3
MMBA	507	7729	L1	wks of 1Mar-15Mar, 19Apr-31May	W	19:40	21:30	RHLT2
MMBA	509	13752	L2	Wks of 15Nov-13Dec	T	17:40	19:30	GBLT3
MMBA	516	10542	L1	Trimester 2	W	19:40	21:30	RHLT3
MMBA	518	3534	L1	Trimester 2	W	17:40	19:30	RHLT3
MMBA	519	3535	L1	Trimester 2	M	19:40	21:30	RHLT3
MMBA	520	3536	L1	Trimester 2	M	17:40	19:30	RHLT3
MMBA	535	730	L1	Trimester 2	M	17:40	19:30	RHG02
MMBA	545	10546	L1	Trimester 2	R	17:40	19:30	GBG07
MMBA	545	10546	L1	Trimester 2	R	17:40	19:30	GBG07
MMBA	545	10546	L1	Trimester 2	R	17:40	19:30	RHG02
MMBA	545	10546	L1	Trimester 2	R	17:40	19:30	RHG02
MMBA	549	10544	L1	Wks of 19Jul-26Jul, 9Aug-16Aug	S	9:00	15:00	RHG01
MMBA	553	8154	L2	Trimester 2	T	17:40	19:30	RHG02
MMBA	555	2219	L1	Wks of 15Nov-13Dec	W	17:40	19:30	GBG07
MMBA	556	11208	L1	Wks of 15Nov-13Dec	W	17:40	19:30	GBG05
MMBA	558	7224	L1	Wks 1 May-22 May	S	9:00	16:50	RHG03
MMBA	560	9311	L2	Week of 1 February	U	9:00	17:00	RHLT3
MMBA	560	9311	L2	Wks of 15Nov-13Dec	F	9:00	15:00	GBLT3
MMBA	561	10662	L1	Week of 22 March	S	9:00	15:00	RHG01
MMBA	561	10662	L1	Wks of 8Mar-15Mar, 19Apr	S	9:00	15:00	RHMZ10
MMBA	571	17479	L2	Week of 4 January	SU	9:00	17:00	RHMZ05
MMBA	571	18216	L3-Summer	Summer 2010/11 Wks of 15 Nov,6Dec	SU	9:00	17:00	GBLT3
MMBA	575	3163	L1	Wks of 15Nov-6Dec	S	9:00	15:00	GB117
MMBA	579	6864	L1	Trimester 2 first 4wks	S	9:00	15:00	RHG03
 	 	 	 	 	 	 	 	 
MMIM	502	9631	L1	Trimester 2	M	17:40	19:30	GBLT4
MMIM	503	9632	L1	Wks of 15Nov-13Dec	R	17:40	19:30	RWW128
MMIM	512	9635	L1	Wks of 6Sep, 20Sep, 4Oct	F	17:40	19:30	RHLT3
MMIM	512	9635	L1	Wks of 6Sep, 20Sep, 4Oct	S	9:00	16:00	RHLT3
MMIM	520	9638	L1	Wks of 15Nov-13Dec	T	17:40	19:30	RWW128
MMIM	532	10498	L1	Trimester 2	M	19:40	21:30	RWW128
MMIM	571	9650	L1	Trimester 2	R	17:40	19:30	RWW128
MMIM	580	9651	L1	Wks of 22Feb, 12Apr, 7Jun	F	8:30	18:30	RWW315
MMIM	581	9652	L1	Trimester 2	T	17:40	19:30	RWW128
MMIM	582	9653	L1	Trimester 2	W	17:40	19:30	RWW128
 	 	 	 	 	 	 	 	 
MMMS	522	7087	L1	Trimester 2	F	9:30	12:20	RWW414
MMMS	530	9427	L1	Trimester 2	M	9:30	12:20	RWW315
 	 	 	 	 	 	 	 	 
MMPA	501	18183	L2 Sum 10	Wks of 15Nov-13Dec	F	12:40	16:30	GBLT4
MMPA	502	18185	L2 Sum 10	Wks of 15Nov-13Dec	R	16:40	20:30	GBLT4
